,AEDNRMURR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,52.0
1992-02-01,39.0
1992-03-01,48.0
1992-04-01,50.0
1992-05-01,50.0
1992-06-01,50.0
1992-07-01,44.0
1992-08-01,42.0
1992-09-01,47.0
1992-10-01,79.0
1992-11-01,71.0
1992-12-01,99.0
1993-01-01,152.0
1993-02-01,145.0
1993-03-01,161.0
1993-04-01,123.0
1993-05-01,155.0
1993-06-01,158.0
1993-07-01,136.0
1993-08-01,156.0
1993-09-01,190.0
1993-10-01,247.0
1993-11-01,254.0
1993-12-01,259.0
1994-01-01,255.0
1994-02-01,249.0
1994-03-01,243.0
1994-04-01,245.0
1994-05-01,210.0
1994-06-01,222.0
1994-07-01,215.0
1994-08-01,219.0
1994-09-01,222.0
1994-10-01,221.0
1994-11-01,228.0
1994-12-01,237.0
1995-01-01,232.0
1995-02-01,223.0
1995-03-01,221.0
1995-04-01,214.0
1995-05-01,215.0
1995-06-01,215.0
1995-07-01,211.0
1995-08-01,205.0
1995-09-01,217.0
1995-10-01,233.0
1995-11-01,253.0
1995-12-01,228.0
1996-01-01,234.0
1996-02-01,228.0
1996-03-01,223.0
1996-04-01,214.0
1996-05-01,210.0
1996-06-01,200.0
1996-07-01,193.0
1996-08-01,179.0
1996-09-01,170.0
1996-10-01,155.0
1996-11-01,162.0
1996-12-01,159.0
1997-01-01,151.0
1997-02-01,137.0
1997-03-01,120.0
1997-04-01,112.0
1997-05-01,114.0
1997-06-01,96.0
1997-07-01,81.0
1997-08-01,74.0
1997-09-01,67.0
1997-10-01,66.0
1997-11-01,66.0
1997-12-01,64.0
1998-01-01,55.0
1998-02-01,52.0
1998-03-01,52.0
1998-04-01,60.0
1998-05-01,50.0
1998-06-01,50.0
1998-07-01,62.0
1998-08-01,67.0
1998-09-01,68.0
1998-10-01,71.0
1998-11-01,68.0
1998-12-01,68.0
1999-01-01,62.0
1999-02-01,68.0
1999-03-01,66.0
1999-04-01,56.0
1999-05-01,51.0
1999-06-01,43.0
1999-07-01,44.0
1999-08-01,55.0
1999-09-01,57.0
1999-10-01,63.0
1999-11-01,66.0
1999-12-01,59.0
2000-01-01,61.0
2000-02-01,65.0
2000-03-01,64.0
2000-04-01,58.0
2000-05-01,54.0
2000-06-01,44.0
2000-07-01,36.0
2000-08-01,45.0
2000-09-01,40.0
2000-10-01,45.0
2000-11-01,43.0
2000-12-01,36.0
2001-01-01,38.0
2001-02-01,42.0
2001-03-01,40.0
2001-04-01,31.0
2001-05-01,32.0
2001-06-01,32.0
2001-07-01,33.0
2001-08-01,32.0
2001-09-01,26.0
2001-10-01,21.0
2001-11-01,21.0
2001-12-01,20.0
2002-01-01,21.0
2002-02-01,20.0
2002-03-01,17.0
2002-04-01,12.0
2002-05-01,17.0
2002-06-01,13.0
2002-07-01,12.0
2002-08-01,11.0
2002-09-01,7.0
2002-10-01,8.0
2002-11-01,6.0
2002-12-01,13.0
2003-01-01,13.0
2003-02-01,15.0
2003-03-01,15.0
2003-04-01,12.0
2003-05-01,10.0
2003-06-01,21.0
2003-07-01,25.0
2003-08-01,29.0
2003-09-01,27.0
2003-10-01,31.0
2003-11-01,29.0
2003-12-01,29.0
2004-01-01,31.0
